,Date,Open,High,Low,Close,Volume
60,10/06/2020,279.29,281.19,274.25,275.16,"49,704,238"
61,10/05/2020,276.34,280.49,276.23,280.16,"28,184,580"
62,10/02/2020,276.01,282.24,273.44,274.31,"75,497,391"
63,10/01/2020,281.79,282.88,279.84,282.25,"50,020,219"
64,09/30/2020,276.09,281.09,275.87,277.84,"49,380,801"
65,09/29/2020,276.72,277.71,275.37,275.95,"27,178,920"
66,09/28/2020,276.62,277.2,271.67,277.2,"58,438,289"
67,09/25/2020,265.82,272.4,264.3,271.56,"55,242,379"
68,09/24/2020,261.58,268.7,261.22,265.39,"70,631,695"
69,09/23/2020,272.15,272.34,263.25,264.16,"48,837,273"
70,09/22/2020,270.05,273.08,266.54,272.48,"41,128,887"
71,09/21/2020,262.52,267.65,260.11,267.51,"57,168,566"
72,09/18/2020,271.62,272.09,262.63,266.87,"86,251,117"
73,09/17/2020,267.52,274.4,266.68,270.32,"81,570,844"
74,09/16/2020,279.77,280.36,274.25,274.61,"42,435,633"
75,09/15/2020,278.9,280.45,275.13,279.06,"41,849,930"
76,09/14/2020,274.28,277.22,272.96,275.16,"38,525,191"
77,09/11/2020,274.33,275.22,266.9,270.45,"71,809,008"
78,09/10/2020,280.97,282.2,270.56,272.34,"69,667,453"
79,09/09/2020,275.54,280.05,273.0,277.88,"64,837,871"
80,09/08/2020,272.27,278.22,269.66,269.95,"99,568,648"
81,09/04/2020,285.76,288.93,271.8,283.58,"123,959,000"
82,09/03/2020,298.2,298.62,284.41,287.41,"110,083,297"
83,09/02/2020,303.26,303.5,296.89,302.76,"50,836,770"
84,09/01/2020,297.6,300.04,295.79,299.92,"36,395,770"
85,08/31/2020,293.16,296.75,292.62,294.88,"36,321,031"
86,08/28/2020,292.27,293.18,290.93,292.53,"28,021,020"
87,08/27/2020,293.08,293.85,288.71,291.05,"49,482,719"
88,08/26/2020,287.11,292.22,285.83,291.96,"42,216,688"
89,08/25/2020,282.78,286.06,282.37,285.86,"34,866,594"
90,08/24/2020,285.06,286.0,281.27,283.63,"36,418,527"
91,08/21/2020,280.07,282.34,279.46,281.87,"34,748,930"
92,08/20/2020,275.3,280.43,274.86,279.93,"27,723,381"
93,08/19/2020,277.93,279.02,275.57,276.1,"31,999,359"
94,08/18/2020,276.41,278.47,274.91,277.97,"23,529,500"
95,08/17/2020,273.91,275.84,272.2,275.32,"24,802,971"
96,08/14/2020,273.01,273.4,270.72,272.16,"30,799,490"
97,08/13/2020,272.64,274.83,271.51,272.48,"31,895,721"
98,08/12/2020,267.37,272.84,267.37,271.86,"38,894,273"
99,08/11/2020,269.1,270.44,264.63,265.19,"43,104,320"
100,08/10/2020,271.74,271.98,266.67,270.31,"35,088,367"
101,08/07/2020,274.04,274.88,269.25,271.47,"44,969,359"
102,08/06/2020,270.78,274.98,270.19,274.64,"28,048,221"
103,08/05/2020,270.83,271.52,269.96,271.05,"21,685,920"
104,08/04/2020,268.74,270.48,268.09,270.38,"24,911,289"
105,08/03/2020,268.05,270.15,267.87,269.38,"32,081,570"
106,07/31/2020,265.83,265.95,260.85,265.79,"53,756,160"
107,07/30/2020,257.78,261.71,256.55,261.13,"41,774,461"
108,07/29/2020,258.33,260.66,257.91,259.77,"27,556,881"
109,07/28/2020,259.33,259.85,256.51,256.81,"31,302,391"
110,07/27/2020,257.36,260.52,256.45,260.12,"36,445,738"
111,07/24/2020,254.12,256.93,251.32,255.56,"54,054,539"
112,07/23/2020,264.55,265.24,256.55,258.01,"51,363,539"
113,07/22/2020,264.46,265.89,262.55,264.93,"29,865,520"
114,07/21/2020,268.41,268.41,263.13,264.0,"43,442,969"
115,07/20/2020,260.12,267.43,258.79,266.78,"40,610,129"
